player_name,nation,position,squad,compition,age_years,born_year,match_played,starts,min,goal,assist,expected_goal,expected_assisted_goal,non-penalty_expected_goal,progressive_carries,progressive_passes,progressive_passes_receive,age_scaled,value_score,value_tier
Dodi Lukebakio,BEL,"FW,MF",Hertha BSC,Bundesliga,25,1997,24,19,1723.0,10.0,1.0,6.5,6.0,4.0,70.0,2.8,6.2,0.4203842733465803,3.3533253211607024,High
Saa Lukic,SRB,MF,Torino,Serie A,26,1996,16,13,1195.0,2.0,2.0,1.7,0.9,4.0,26.0,2.3,44.0,0.18212737652529207,-1.3276350369780683,Mid
Andriy Lunin,UKR,GK,Real Madrid,La Liga,24,1999,6,6,540.0,,,0.0,0.0,0.0,0.0,,0.0,0.6586411701678685,-3.505676355001711,Low
Sebastiano Luperto,ITA,DF,Empoli,Serie A,26,1996,25,25,2164.0,1.0,1.0,0.7,0.6,0.7,11.0,56.0,3.0,0.18212737652529207,2.4486326875991624,High
Lyanco,BRA,DF,Southampton,Premier League,26,1997,14,7,698.0,0.3,4.0,5.0,2.0,20.0,,,,0.18212737652529207,-2.1903075906947707,Low
Charalambos Lykogiannis,GRE,DF,Bologna,Serie A,29,1993,18,11,1054.0,2.0,2.0,0.7,2.1,1.3,29.0,41.0,0.17,-0.5326433139385727,-1.4862435900584758,Mid
Youssouf M'Changama,COM,MF,Auxerre,Ligue 1,32,1990,20,6,648.0,0.3,0.3,15.0,,26.0,,,,-1.2474140044024373,-2.5787267377229854,Low
Alexis Mac Allister,ARG,MF,Brighton,Premier League,24,1998,22,21,1904.0,7.0,1.0,7.8,6.0,4.0,36.0,2.2,6.9,0.6586411701678685,2.7286841363315366,High
Deiver Machado,COL,"DF,MF",Lens,Ligue 1,29,1993,25,19,1687.0,3.0,1.0,1.0,1.0,1.0,44.0,2.4,45.0,-0.5326433139385727,0.35450503828760294,Mid
Darwin Machís,VEN,FW,Valladolid,La Liga,30,1993,6,4,366.0,0.9,1.0,18.0,2.8,1.9,,30.0,,-0.7709002107598608,-2.9639809752676007,Low
James Maddison,ENG,"MF,FW",Leicester City,Premier League,26,1996,20,19,1631.0,9.0,6.0,4.2,6.2,4.2,47.0,109.0,104.0,0.18212737652529207,4.325593342974252,High
Pablo Maffeo,ESP,DF,Mallorca,La Liga,25,1997,24,23,1990.0,1.0,3.0,0.9,0.9,1.0,53.0,2.9,44.0,0.4203842733465803,2.7626513049859858,High
Lisandro Magallán,ARG,DF,Elche,La Liga,29,1993,7,5,404.0,,1.0,0.0,,,0.0,,,-0.5326433139385727,-4.593517563481782,Low
Giulio Maggiore,ITA,MF,Salernitana,Serie A,25,1998,12,9,724.0,0.4,2.0,5.0,10.0,49.0,,,,0.4203842733465803,-1.1606153271152577,Mid
Giangiacomo Magnani,ITA,DF,Hellas Verona,Serie A,27,1995,15,10,806.0,0.3,4.0,1.0,15.0,0.4,,,,-0.05612952029599616,-1.4343811567338152,Mid
Hugo Magnetti,FRA,MF,Brest,Ligue 1,24,1998,24,15,1377.0,0.6,2.0,26.0,61.0,1.2,0.04,0.13,0.13,0.6586411701678685,4.270259657741326,High
Yohann Magnin,FRA,MF,Clermont Foot,Ligue 1,25,1997,28,22,2042.0,0.9,5.0,12.0,54.0,104.0,0.04,0.08,0.04,0.4203842733465803,4.396367473003534,High
Harry Maguire,ENG,DF,Manchester Utd,Premier League,30,1993,11,5,482.0,0.3,3.0,5.0,,2.0,,,,-0.7709002107598608,-3.4276784407410434,Low
Riyad Mahrez,ALG,"FW,MF",Manchester City,Premier League,32,1991,19,12,1061.0,5.0,4.0,4.6,2.0,1.0,39.0,3.3,7.2,-1.2474140044024373,-2.17183332691881,Low
Arne Maier,GER,MF,Augsburg,Bundesliga,24,1999,21,16,1348.0,3.0,3.0,1.1,2.1,1.0,22.0,55.0,0.2,0.6586411701678685,0.9405766771068411,Mid
Mike Maignan,FRA,GK,Milan,Serie A,27,1995,11,11,990.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05612952029599616,-3.622230434949474,Low
Linton Maina,GER,"FW,MF",Köln,Bundesliga,23,1999,24,18,1531.0,2.0,5.0,3.5,7.6,4.1,54.0,121.0,0.29,0.8968980669891568,5.367980989496576,High
Ainsley Maitland-Niles,ENG,"DF,MF",Southampton,Premier League,25,1997,15,9,960.0,10.0,3.0,0.0,0.05,10.0,0.0,0.06,0.0,0.4203842733465803,-3.4662545803954026,Low
Lovro Majer,CRO,"MF,FW",Rennes,Ligue 1,25,1998,22,12,1065.0,1.0,3.0,2.2,1.4,2.0,37.0,4.4,86.0,0.4203842733465803,-0.816034311500927,Mid
Jean-Victor Makengo,FRA,MF,Udinese,Serie A,24,1998,16,11,805.0,0.4,1.0,18.0,0.8,0.5,,31.0,,0.6586411701678685,0.05920059611711581,Mid
Jean-Victor Makengo,FRA,MF,Lorient,Ligue 1,24,1998,8,7,610.0,0.1,0.1,14.0,,26.0,,,,0.6586411701678685,-0.6888997234548702,Mid
Nemanja Maksimovic,SRB,MF,Getafe,La Liga,28,1995,17,14,1078.0,0.5,1.0,6.0,17.0,20.0,0.04,0.07,0.04,-0.2943864171172844,-1.74486089166116,Low
