player_name,nation,position,squad,compition,age_years,born_year,match_played,starts,min,goal,assist,expected_goal,expected_assisted_goal,non-penalty_expected_goal,progressive_carries,progressive_passes,progressive_passes_receive,age_scaled,value_score,value_tier
Tyrell Malacia,NED,DF,Manchester Utd,Premier League,23,1999,15,10,920.0,0.2,3.0,14.0,20.0,28.0,0.02,0.03,0.02,0.8968980669891568,-0.457922129545434,Mid
Daniel Maldini,ITA,"FW,MF",Spezia,Serie A,21,2001,14,2,460.0,2.0,2.0,1.0,8.0,1.1,9.0,,,1.3734118606317332,-2.5014539016204926,Low
Youssef Maleh,ITA,MF,Lecce,Serie A,24,1998,10,5,441.0,0.2,3.0,6.0,14.0,10.0,,,,0.6586411701678685,-1.61155602793845,Mid
Donyell Malen,NED,FW,Dortmund,Bundesliga,24,1999,17,14,1063.0,2.0,3.0,3.7,6.4,2.8,50.0,106.0,0.25,0.6586411701678685,3.206369483695201,High
Ruslan Malinovskyi,UKR,"MF,FW",Atalanta,Serie A,29,1993,15,5,553.0,1.0,2.0,0.6,2.0,0.6,19.0,50.0,36.0,-0.5326433139385727,-3.385587311401904,Low
Ruslan Malinovskyi,UKR,"MF,FW",Marseille,Ligue 1,29,1993,11,7,678.0,1.0,1.0,1.4,2.9,1.5,17.0,39.0,,-0.5326433139385727,-3.1380283357647336,Low
Hugo Mallo,ESP,DF,Celta Vigo,La Liga,31,1991,18,18,1473.0,0.9,4.0,23.0,76.0,45.0,0.05,0.12,0.05,-1.0091571075811492,3.7867881148336666,High
Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,22,2000,26,26,2340.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.135154963810445,1.8589014734007978,High
Gianluca Mancini,ITA,DF,Roma,Serie A,26,1996,26,26,2181.0,1.0,2.0,1.7,1.3,1.7,13.0,64.0,11.0,0.18212737652529207,3.0339235527678077,High
Steve Mandanda,FRA,GK,Rennes,Ligue 1,38,1985,26,26,2295.0,0.0,1.0,0.0,0.04,0.1,0.0,0.04,0.0,-2.676955385330167,-2.0239676731108265,Low
Reinildo Mandava,MOZ,DF,Atlético Madrid,La Liga,29,1994,22,22,1857.0,0.4,4.0,28.0,41.0,70.0,0.02,0.04,0.02,-0.5326433139385727,3.83099813306513,High
Aïssa Mandi,ALG,DF,Villarreal,La Liga,31,1991,10,5,486.0,0.1,0.1,5.0,,,,,,-1.0091571075811492,-3.6593482803614235,Low
Rolando Mandragora,ITA,MF,Fiorentina,Serie A,25,1997,20,15,1353.0,2.0,3.0,1.2,3.7,1.2,14.0,101.0,44.0,0.4203842733465803,1.4413693628759432,High
Sadio Mané,SEN,FW,Bayern Munich,Bundesliga,30,1992,18,14,1076.0,6.0,4.0,6.7,1.0,2.0,49.0,2.7,7.8,-0.7709002107598608,-0.8237435986051189,Mid
Orel Mangala,BEL,MF,Nott'ham Forest,Premier League,25,1998,16,11,757.0,0.3,1.0,10.0,6.0,28.0,,,,0.4203842733465803,-0.6100779381162447,Mid
Thomas Mangani,FRA,MF,Ajaccio,Ligue 1,35,1987,18,9,895.0,1.0,1.0,1.9,0.3,3.0,9.0,1.9,72.0,-1.962184694866302,-5.314437364540934,Low
Vito Mannone,ITA,GK,Lorient,Ligue 1,35,1988,15,14,1338.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.962184694866302,-4.541868509253301,Low
Faitout Maouassa,FRA,"FW,DF",Montpellier,Ligue 1,24,1998,25,19,1553.0,3.0,5.0,1.9,4.0,2.1,34.0,84.0,0.29,0.6586411701678685,3.1314974271621985,High
Sekou Mara,FRA,"FW,MF",Southampton,Premier League,20,2002,19,3,451.0,0.9,2.0,7.0,1.6,0.8,,25.0,,1.6116687574530215,-1.7784690690122273,Low
Maranhão,BRA,"FW,MF",Valencia,La Liga,26,1996,16,3,436.0,1.0,1.0,1.5,0.4,1.3,2.0,6.0,18.0,0.18212737652529207,-5.000053487493057,Low
